Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1,Rookie_Year,Fetch_Date
17,VJ Edgecombe,"Oct 22, '25, PHI @ BOS",20,1,38,1359,223,520,83,222,72,94,64,202,159,57,20,71,122,601,0.429,0.374,0.766,35.8,15.8,5.3,4.2,1.5,0.5,2026,2026-01-21
18,Noa Essengue,"Nov 22, '25, CHI vs. WAS",19,1,2,6,0,3,0,2,0,0,0,0,0,1,0,0,1,0,0.0,0.0,,3.0,0.0,0.0,0.0,0.5,0.0,2026,2026-01-21
19,Jeremiah Fears,"Oct 22, '25, NOP @ MEM",19,1,45,1194,238,548,47,145,104,130,34,167,143,54,11,106,79,627,0.434,0.324,0.8,26.5,13.9,3.7,3.2,1.2,0.2,2026,2026-01-21
20,Cooper Flagg,"Oct 22, '25, DAL vs. SAS",19,1,41,1391,294,615,40,140,142,176,46,257,170,52,32,91,93,770,0.478,0.286,0.807,33.9,18.8,6.3,4.1,1.3,0.8,2026,2026-01-21
21,Rasheer Fleming,"Oct 24, '25, PHO @ LAC",21,1,24,167,24,68,8,39,7,9,16,30,4,6,6,4,19,63,0.353,0.205,0.778,7.0,2.6,1.3,0.2,0.3,0.3,2026,2026-01-21
22,Myron Gardner,"Oct 28, '25, MIA vs. CHO",24,1,16,101,18,37,8,21,5,5,11,26,9,5,2,1,18,49,0.486,0.381,1.0,6.3,3.1,1.6,0.6,0.3,0.1,2026,2026-01-21
23,Vladislav Goldin,"Dec 19, '25, MIA @ BOS",24,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,1.0,0.0,0.0,1.0,0.0,0.0,2026,2026-01-21
24,Hugo GonzÃ¡lez,"Oct 24, '25, BOS @ NYK",19,1,37,554,59,120,18,51,9,17,33,124,22,22,10,23,72,145,0.492,0.353,0.529,15.0,3.9,3.4,0.6,0.6,0.3,2026,2026-01-21
25,Yang Hansen,"Oct 22, '25, POR vs. MIN",20,1,25,209,20,68,5,32,15,16,11,41,19,2,8,22,31,60,0.294,0.156,0.938,8.4,2.4,1.6,0.8,0.1,0.3,2026,2026-01-21
26,Dylan Harper,"Oct 22, '25, SAS @ DAL",19,1,34,732,143,327,22,90,51,69,25,108,122,31,7,48,66,359,0.437,0.244,0.739,21.5,10.6,3.2,3.6,0.9,0.2,2026,2026-01-21
27,Chucky Hepburn,"Nov 30, '25, TOR @ NYK",22,1,2,13,0,6,0,5,0,0,0,1,2,1,0,1,2,0,0.0,0.0,,6.5,0.0,0.5,1.0,0.5,0.0,2026,2026-01-21
28,DaRon Holmes,"Oct 25, '25, DEN vs. PHO",23,1,11,154,16,38,13,31,6,8,5,20,15,0,4,5,13,51,0.421,0.419,0.75,14.0,4.6,1.8,1.4,0.0,0.4,2026,2026-01-21
29,Kasparas JakuÄionis,"Dec 1, '25, MIA vs. LAC",19,1,18,264,20,65,17,40,14,16,13,38,31,9,0,15,30,71,0.308,0.425,0.875,14.7,3.9,2.1,1.7,0.5,0.0,2026,2026-01-21
30,Sion James,"Oct 22, '25, CHO vs. BRK",23,1,43,1090,83,214,46,128,58,67,25,150,87,26,17,34,79,270,0.388,0.359,0.866,25.3,6.3,3.5,2.0,0.6,0.4,2026,2026-01-21
31,Tre Johnson,"Oct 22, '25, WAS @ MIL",19,1,35,866,158,354,72,184,46,52,16,99,71,24,11,52,64,434,0.446,0.391,0.885,24.7,12.4,2.8,2.0,0.7,0.3,2026,2026-01-21
32,Curtis Jones,"Nov 29, '25, DEN @ PHO",24,1,5,22,2,10,0,6,0,0,1,4,1,0,0,1,2,4,0.2,0.0,,4.4,0.8,0.8,0.2,0.0,0.0,2026,2026-01-21
33,Kam Jones,"Dec 22, '25, IND @ BOS",23,1,11,82,10,27,1,10,0,2,2,8,9,3,0,2,4,21,0.37,0.1,0.0,7.5,1.9,0.7,0.8,0.3,0.0,2026,2026-01-21
34,David Jones GarcÃ­a,"Oct 22, '25, SAS @ DAL",24,1,11,68,13,25,3,5,3,6,4,13,18,6,1,5,6,32,0.52,0.6,0.5,6.2,2.9,1.2,1.6,0.5,0.1,2026,2026-01-21
35,Ryan Kalkbrenner,"Oct 22, '25, CHO vs. BRK",24,1,31,764,116,150,0,2,38,53,77,195,21,20,49,32,51,270,0.773,0.0,0.717,24.6,8.7,6.3,0.7,0.6,1.6,2026,2026-01-21
36,Miles Kelly,"Oct 26, '25, DAL vs. TOR",23,1,8,76,11,28,7,22,0,0,4,12,5,2,0,3,8,29,0.393,0.318,,9.5,3.6,1.5,0.6,0.3,0.0,2026,2026-01-21
37,Kon Knueppel,"Oct 22, '25, CHO vs. BRK",20,1,42,1358,278,570,143,329,101,113,46,221,149,28,10,93,98,800,0.488,0.435,0.894,32.3,19.0,5.3,3.5,0.7,0.2,2026,2026-01-21
38,Yanic Konan NiederhÃ¤user,"Oct 22, '25, LAC @ UTA",22,1,24,211,33,51,0,2,20,31,20,52,8,2,11,12,28,86,0.647,0.0,0.645,8.8,3.6,2.2,0.3,0.1,0.5,2026,2026-01-21
39,Chaz Lanier,"Oct 24, '25, DET @ HOU",24,1,16,153,17,48,14,41,5,5,6,15,12,5,0,1,5,53,0.354,0.341,1.0,9.6,3.3,0.9,0.8,0.3,0.0,2026,2026-01-21
